index,oscillations_per_cycle,period_s,length_m,length_cm,string_length_cm
1,51,1.1764705882352942,0.34358048432349836,34.35804843234983,33.458048432349834
2,52,1.1538461538461537,0.3304929140996372,33.04929140996372,32.14929140996372
3,53,1.1320754716981132,0.3181391383856958,31.81391383856958,30.913913838569577
4,54,1.1111111111111112,0.30646530854781184,30.646530854781183,29.746530854781184
5,55,1.0909090909090908,0.2954224263555104,29.54224263555104,28.642242635551042
6,56,1.0714285714285714,0.284965828994075,28.496582899407503,27.5965828994075
7,57,1.0526315789473684,0.27505473675759284,27.505473675759283,26.605473675759285
8,58,1.0344827586206897,0.26565185485297843,26.565185485297842,25.665185485297844
9,59,1.0169491525423728,0.25672302204120057,25.672302204120058,24.772302204120056
10,60,1.0,0.2482368999237276,24.82368999237276,23.92368999237276
11,61,0.9836065573770492,0.24016469758812667,24.01646975881267,23.116469758812666
12,62,0.967741935483871,0.23247992708777823,23.247992708777822,22.347992708777824
13,63,0.9523809523809523,0.22515818587186168,22.515818587186168,21.615818587186165
14,64,0.9375,0.2181769628235887,21.81769628235887,20.917696282358868
15,65,0.9230769230769231,0.2115154650237679,21.15154650237679,20.251546502376787
